section,base,grade,suffix_axis,count,pct_of_base_grade
pharm-herbal,qok,eo,e_grade,5,7.04
pharm-herbal,qok,eo,o_grade,36,50.70
pharm-herbal,qok,eo,aspect,17,23.94
pharm-herbal,qok,eo,other,13,18.31
pharm-herbal,qot,bare,e_grade,2,20.00
pharm-herbal,qot,bare,paradigm,3,30.00
pharm-herbal,qot,bare,clitic,4,40.00
pharm-herbal,qot,bare,other,1,10.00
pharm-herbal,qot,e,e_grade,2,25.00
pharm-herbal,qot,e,other,6,75.00
pharm-herbal,qot,o,o_grade,3,33.33
pharm-herbal,qot,o,aspect,3,33.33
pharm-herbal,qot,o,other,3,33.33
pharm-herbal,qot,eo,e_grade,1,10.00
pharm-herbal,qot,eo,o_grade,5,50.00
pharm-herbal,qot,eo,aspect,3,30.00
pharm-herbal,qot,eo,other,1,10.00
pharm-herbal,ok,bare,e_grade,12,17.14
pharm-herbal,ok,bare,paradigm,18,25.71
pharm-herbal,ok,bare,clitic,26,37.14
pharm-herbal,ok,bare,other,14,20.00
pharm-herbal,ok,e,e_grade,37,46.84
pharm-herbal,ok,e,aspect,13,16.46
pharm-herbal,ok,e,clitic,3,3.80
pharm-herbal,ok,e,other,26,32.91
pharm-herbal,ok,o,e_grade,1,1.67
pharm-herbal,ok,o,o_grade,34,56.67
pharm-herbal,ok,o,aspect,4,6.67
pharm-herbal,ok,o,paradigm,1,1.67
pharm-herbal,ok,o,other,20,33.33
pharm-herbal,ok,eo,e_grade,6,9.38
pharm-herbal,ok,eo,o_grade,38,59.38
pharm-herbal,ok,eo,aspect,7,10.94
pharm-herbal,ok,eo,other,13,20.31
pharm-herbal,ot,bare,e_grade,6,11.54
pharm-herbal,ot,bare,paradigm,12,23.08
pharm-herbal,ot,bare,clitic,16,30.77
pharm-herbal,ot,bare,other,18,34.62
pharm-herbal,ot,e,e_grade,12,46.15
pharm-herbal,ot,e,aspect,5,19.23
pharm-herbal,ot,e,clitic,1,3.85
pharm-herbal,ot,e,other,8,30.77
pharm-herbal,ot,o,o_grade,11,30.56
pharm-herbal,ot,o,aspect,2,5.56
pharm-herbal,ot,o,other,23,63.89
pharm-herbal,ot,eo,e_grade,1,4.55
pharm-herbal,ot,eo,o_grade,9,40.91
pharm-herbal,ot,eo,aspect,5,22.73
pharm-herbal,ot,eo,other,7,31.82
rosettes,ch,bare,e_grade,11,12.36
rosettes,ch,bare,aspect,37,41.57
rosettes,ch,bare,paradigm,1,1.12
rosettes,ch,bare,clitic,1,1.12
rosettes,ch,bare,other,39,43.82
rosettes,ch,e,e_grade,31,28.18
rosettes,ch,e,aspect,46,41.82
rosettes,ch,e,clitic,3,2.73
rosettes,ch,e,other,30,27.27
rosettes,ch,o,e_grade,1,1.89
rosettes,ch,o,o_grade,22,41.51
rosettes,ch,o,aspect,6,11.32
rosettes,ch,o,paradigm,2,3.77
rosettes,ch,o,other,22,41.51
rosettes,ch,eo,o_grade,3,15.00
rosettes,ch,eo,aspect,7,35.00
rosettes,ch,eo,other,10,50.00
rosettes,sh,bare,e_grade,6,15.38
rosettes,sh,bare,aspect,7,17.95
rosettes,sh,bare,clitic,3,7.69
rosettes,sh,bare,other,23,58.97
rosettes,sh,e,e_grade,32,37.65
rosettes,sh,e,aspect,28,32.94
rosettes,sh,e,other,25,29.41
rosettes,sh,o,e_grade,1,3.12
rosettes,sh,o,o_grade,13,40.62
rosettes,sh,o,aspect,5,15.62
rosettes,sh,o,clitic,1,3.12
rosettes,sh,o,other,12,37.50
rosettes,sh,eo,e_grade,1,5.88
rosettes,sh,eo,o_grade,5,29.41
rosettes,sh,eo,aspect,5,29.41
rosettes,sh,eo,other,6,35.29
rosettes,qok,bare,e_grade,4,6.67
rosettes,qok,bare,paradigm,23,38.33
rosettes,qok,bare,clitic,31,51.67
rosettes,qok,bare,other,2,3.33
rosettes,qok,e,e_grade,7,30.43
rosettes,qok,e,aspect,11,47.83
rosettes,qok,e,other,5,21.74
rosettes,qok,o,e_grade,1,20.00
rosettes,qok,o,o_grade,4,80.00
rosettes,qok,eo,o_grade,2,50.00
rosettes,qok,eo,aspect,2,50.00
rosettes,qot,bare,e_grade,6,17.65
rosettes,qot,bare,paradigm,12,35.29
rosettes,qot,bare,clitic,14,41.18
rosettes,qot,bare,other,2,5.88
rosettes,qot,e,e_grade,4,28.57
rosettes,qot,e,aspect,5,35.71
rosettes,qot,e,other,5,35.71
rosettes,qot,o,o_grade,4,66.67
rosettes,qot,o,aspect,1,16.67
rosettes,qot,o,other,1,16.67
rosettes,qot,eo,o_grade,1,33.33
rosettes,qot,eo,aspect,2,66.67
rosettes,ok,bare,e_grade,4,12.90
rosettes,ok,bare,paradigm,8,25.81
rosettes,ok,bare,clitic,18,58.06
rosettes,ok,bare,other,1,3.23
rosettes,ok,e,aspect,6,54.55
rosettes,ok,e,other,5,45.45
rosettes,ok,o,o_grade,2,100.00
rosettes,ok,eo,aspect,1,50.00
rosettes,ok,eo,other,1,50.00
rosettes,ot,bare,e_grade,5,7.35
rosettes,ot,bare,paradigm,21,30.88
rosettes,ot,bare,clitic,37,54.41
rosettes,ot,bare,other,5,7.35
rosettes,ot,e,e_grade,9,21.43
rosettes,ot,e,aspect,19,45.24
rosettes,ot,e,other,14,33.33
rosettes,ot,o,e_grade,1,5.26
rosettes,ot,o,o_grade,8,42.11
rosettes,ot,o,aspect,2,10.53
rosettes,ot,o,other,8,42.11
rosettes,ot,eo,o_grade,1,33.33
rosettes,ot,eo,aspect,2,66.67
stars,ch,bare,e_grade,47,8.66
stars,ch,bare,o_grade,18,3.31
stars,ch,bare,aspect,85,15.65
stars,ch,bare,paradigm,15,2.76
stars,ch,bare,clitic,64,11.79
stars,ch,bare,other,314,57.83
stars,ch,e,e_grade,274,26.58
stars,ch,e,o_grade,1,0.10
stars,ch,e,aspect,358,34.72
stars,ch,e,paradigm,1,0.10
stars,ch,e,clitic,34,3.30
stars,ch,e,other,363,35.21
stars,ch,o,e_grade,24,7.32
stars,ch,o,o_grade,89,27.13
stars,ch,o,aspect,23,7.01
stars,ch,o,paradigm,3,0.91
stars,ch,o,clitic,2,0.61
stars,ch,o,other,187,57.01
stars,ch,eo,e_grade,47,16.67
stars,ch,eo,o_grade,76,26.95
stars,ch,eo,aspect,42,14.89
stars,ch,eo,paradigm,3,1.06
stars,ch,eo,clitic,4,1.42
stars,ch,eo,other,110,39.01
stars,sh,bare,e_grade,15,9.32
stars,sh,bare,o_grade,1,0.62
stars,sh,bare,aspect,18,11.18
stars,sh,bare,paradigm,10,6.21
stars,sh,bare,clitic,23,14.29
stars,sh,bare,other,94,58.39
stars,sh,e,e_grade,151,31.01
stars,sh,e,aspect,167,34.29
stars,sh,e,paradigm,3,0.62
stars,sh,e,clitic,18,3.70
stars,sh,e,other,148,30.39
stars,sh,o,e_grade,15,13.04
stars,sh,o,o_grade,31,26.96
stars,sh,o,aspect,11,9.57
stars,sh,o,paradigm,2,1.74
stars,sh,o,clitic,1,0.87
stars,sh,o,other,55,47.83
stars,sh,eo,e_grade,22,19.13
stars,sh,eo,o_grade,38,33.04
stars,sh,eo,aspect,17,14.78
stars,sh,eo,clitic,1,0.87
stars,sh,eo,other,37,32.17
stars,qok,bare,e_grade,35,8.91
stars,qok,bare,o_grade,6,1.53
stars,qok,bare,aspect,1,0.25
stars,qok,bare,paradigm,232,59.03
stars,qok,bare,clitic,99,25.19
stars,qok,bare,other,20,5.09
stars,qok,e,e_grade,199,37.34
stars,qok,e,aspect,226,42.40
stars,qok,e,paradigm,2,0.38
stars,qok,e,clitic,5,0.94
stars,qok,e,other,101,18.95
stars,qok,o,e_grade,1,2.86
stars,qok,o,o_grade,24,68.57
stars,qok,o,aspect,2,5.71
stars,qok,o,other,8,22.86
stars,qok,eo,e_grade,5,15.62
stars,qok,eo,o_grade,16,50.00
stars,qok,eo,aspect,4,12.50
stars,qok,eo,other,7,21.88
stars,qot,bare,e_grade,20,11.98
stars,qot,bare,o_grade,1,0.60
stars,qot,bare,paradigm,76,45.51
stars,qot,bare,clitic,55,32.93
stars,qot,bare,other,15,8.98
stars,qot,e,e_grade,33,26.40
stars,qot,e,aspect,60,48.00
stars,qot,e,clitic,2,1.60
