section,trajectory,count
balneo,C1 -> C2 -> C3,1
balneo,C1 -> C2 -> C3 -> C2,1
balneo,C1 -> C2 -> C3 -> C2 -> C1 -> C1 -> C3 -> C3,1
balneo,C1 -> C2 -> C3 -> C4,1
balneo,C1 -> C2 -> C4 -> C1,1
balneo,C1 -> C2 -> C4 -> C1 -> C1 -> C1 -> C1,1
balneo,C1 -> C2 -> C4 -> C1 -> C2,1
balneo,C1 -> C3 -> C0 -> C1 -> C1,1
balneo,C1 -> C3 -> C0 -> C2 -> C1 -> C1 -> C1,1
balneo,C1 -> C3 -> C0 -> C2 -> C2,1
balneo,C1 -> C3 -> C0 -> C3 -> C1 -> C1 -> C1,1
balneo,C1 -> C3 -> C1,1
balneo,C1 -> C3 -> C1 -> C0 -> C1 -> C1 -> C1,1
balneo,C1 -> C3 -> C1 -> C1 -> C1 -> C1 -> C1,1
balneo,C1 -> C3 -> C1 -> C1 -> C1 -> C3,1
balneo,C1 -> C3 -> C1 -> C1 -> C3,1
balneo,C1 -> C3 -> C1 -> C1 -> C4,1
balneo,C1 -> C3 -> C1 -> C3,1
balneo,C1 -> C3 -> C2 -> C0,1
balneo,C1 -> C3 -> C2 -> C1 -> C1 -> C1 -> C2 -> C3,1
balneo,C1 -> C3 -> C2 -> C2,1
balneo,C1 -> C3 -> C2 -> C2 -> C2,1
balneo,C1 -> C3 -> C2 -> C2 -> C2 -> C1 -> C1 -> C3 -> C1,1
balneo,C1 -> C3 -> C2 -> C3,1
balneo,C1 -> C3 -> C2 -> C4 -> C4 -> C1,1
balneo,C1 -> C3 -> C3,1
balneo,C1 -> C3 -> C4 -> C2 -> C1 -> C2,1
balneo,C1 -> C3 -> C4 -> C2 -> C2 -> C1,1
balneo,C1 -> C4 -> C0 -> C1 -> C1,1
balneo,C1 -> C4 -> C1,1
balneo,C1 -> C4 -> C1 -> C0 -> C1,1
balneo,C1 -> C4 -> C1 -> C2 -> C2 -> C2,1
balneo,C1 -> C4 -> C1 -> C4 -> C1 -> C2,1
balneo,C1 -> C4 -> C4 -> C1,1
balneo,C2 -> C0 -> C2,1
balneo,C2 -> C0 -> C2 -> C1,1
balneo,C2 -> C0 -> C3,1
balneo,C2 -> C1 -> C0,1
balneo,C2 -> C1 -> C0 -> C1 -> C1 -> C0,1
balneo,C2 -> C1 -> C0 -> C2,1
balneo,C2 -> C1 -> C1,1
balneo,C2 -> C1 -> C1 -> C0 -> C0,1
balneo,C2 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C3,1
balneo,C2 -> C1 -> C1 -> C1 -> C0,1
balneo,C2 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C2,1
balneo,C2 -> C1 -> C1 -> C1 -> C1 -> C3,1
balneo,C2 -> C1 -> C1 -> C1 -> C1 -> C3 -> C3,1
balneo,C2 -> C1 -> C1 -> C1 -> C2,1
balneo,C2 -> C1 -> C1 -> C1 -> C2 -> C1,1
balneo,C2 -> C1 -> C1 -> C1 -> C3,1
balneo,C2 -> C1 -> C1 -> C2,1
balneo,C2 -> C1 -> C1 -> C2 -> C0,1
balneo,C2 -> C1 -> C1 -> C2 -> C1,1
balneo,C2 -> C1 -> C1 -> C2 -> C1 -> C1 -> C1,1
balneo,C2 -> C1 -> C1 -> C2 -> C3,1
balneo,C2 -> C1 -> C1 -> C3,1
balneo,C2 -> C1 -> C1 -> C3 -> C1,1
balneo,C2 -> C1 -> C2 -> C1,1
balneo,C2 -> C1 -> C2 -> C1 -> C1 -> C1,1
balneo,C2 -> C1 -> C2 -> C2,1
balneo,C2 -> C1 -> C2 -> C3 -> C1 -> C1,1
balneo,C2 -> C1 -> C3,1
balneo,C2 -> C1 -> C3 -> C3 -> C1 -> C1 -> C2,1
balneo,C2 -> C2 -> C0 -> C2 -> C0,1
balneo,C2 -> C2 -> C1,1
balneo,C2 -> C2 -> C1 -> C0,1
balneo,C2 -> C2 -> C1 -> C1 -> C1 -> C1,1
balneo,C2 -> C2 -> C1 -> C1 -> C3,1
balneo,C2 -> C2 -> C2,1
balneo,C2 -> C2 -> C2 -> C0 -> C1,1
balneo,C2 -> C2 -> C2 -> C1,1
balneo,C2 -> C2 -> C2 -> C1 -> C1 -> C2,1
balneo,C2 -> C2 -> C2 -> C1 -> C1 -> C3,1
balneo,C2 -> C2 -> C2 -> C2,1
balneo,C2 -> C2 -> C2 -> C2 -> C2,1
