num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,sections_present
39,Banj Henbane,,Hyoscyamus niger Linn.,Banj Henbane Hyoscyamus niger Linn.,False,True,False,True,third degree,The black variety is cold and dry in the last stage of the third degree while the white one is cold and dry in the first degree.,Banj is a well-known plant. The black variety is most harmful and corrupt. Next comes the red variety in this respect.,Chest|Cosmetics|Excretion|Properties|Choice|Temperament|Joints|Nature|Head|Swellings|Poisons
40,Banjanjusht,,,Banjanjusht,True,False,False,True,second degree,It is hot in the first and dry in the second degree.,"Banjanjusht is a plant of the size of a tree. It grows near water. Its branches are hard and leaves are like those of olive but they are thinner. Its wood is not used as a drug. Only its flowers, leaves and fruits are used. The fruits of banjanjusht and all other parts,",Chest|Cosmetics|Properties|Joints|Temperament|Nature|Poisons
41,Bunduq,,Hazel nut,Bunduq Hazel nut Corylus avelJana Linn,True,False,False,True,,Hazelnut is somewhat hot and less dry. Actions and properties: It is more astringent than walnut and produces bile. It produces flatulence and gases in the anterior part of the abdomen.,"Bunduq is a well-known drug. Its earthiness excels that of walnut, but it is more nutritive because it is more compact, less oily and slow to digest.",Chest|Temperament|Nature|Poisons
42,Bantiifulta: Cinquefoil,,Potentilla reptans Linn.,Bantiifulta: Cinquefoil Potentilla reptans Linn.,False,False,False,False,,,Bantufuliin is an euphorbium (milk plant) called 'fiveleaf-grass' Potentilla reptans.,Food|Chest|Excretion|Properties|Ulcers|Joints|Nature|Head|Swellings|Poisons
43,Banafsaj,,,Banafsaj,True,True,True,False,first degree,Banafsaj is cold and moist in the first degree. Some people hold it to be hot in the first degree. Its leaves undoubtedly are cold. Actions and properties: It is said that it produces the blood of moderate temperament. Pimples and inflammations: A plaster made from banafsaj,It is a well known drug. The action of its root is identical to that of the whole plant of banafsaj (Violet).,Chest|Temperament|Nature
44,Banqah A,lentil-like grain,,Banqah A lentil-like grain,False,False,False,False,,It is moderate in dryness.,,Excretion|Temperament|Properties|Joints
45,Bunk,,,Bunk,True,True,False,True,first degree,It is hot and dry in the first degree. Some people hold it to be cold in the first degree.,Bunk is brought from Yemen. Some people believe it to be the root of decaying Acacia arabica.,Cosmetics|Properties|Choice|Temperament|Nature|Head
46,Buraq Borax,Sodium Borate,,Buraq Borax Sodium Borate,True,False,False,True,second degree,"It is hot and dry in the second degree, inclining towards the third degree in dryness. Actions and properties: Biiraq especially its African variety, is a powerful cleansing agent and it disintegrates thick humours. Boric substances have a little astringency with some detergence. Buraq, except the African variety, is good because of its saltiness. The African","Buraq is well-known and a stronger drug than common salt. Though it bears corresponding potency, it is free from astringency. Biiraq is put in an earthen pot to be placed on fire and then it is roasted inside.",Cosmetics|Choice|Joints|Temperament|Nature|Head|Poisons
47,Buzfdiin,,Sweet pellitory,Buzfdiin Sweet pellitory Orchis moria Linn.,True,False,False,True,first degree,It is hot in the second and dry in the first degree. Property: It is an attenuant drug.,It is a medicinal wood ofIndian origin having the potency almost similar to Behman.,Excretion|Choice|Temperament|Joints|Nature|Poisons
48,Bush Darbandt,,Eyesalve of,Bush Darbandt Eyesalve of Darband Bush Darbandrium,False,False,False,False,,,It is used as a suppository. It is brought from Armenia where it is found often stuck in the hooves of sheep.,Swellings|Joints|Nature
49,Bft~rr,,Great mullein,Bft~rr Great mullein Verbascum thapsus Linn.,False,False,False,False,,,"Bft~rr is of two varieties, one has white, while the other has black leaves. The former is again of two varieties: male, which has smaller leaves and the other female has somewhat bigger leaves. There is a third variety, i.e. the wild one whose leaves and flowers resemble",Chest|Cosmetics|Properties|Joints|Nature|Head
50,Bftql~a,,Ash tree,Bftql~a Ash tree Feraxinus alnUS Linn.,False,True,False,False,,Bftqf~a is of cold temperament.,,Temperament|Properties|Cosmetics
51,Baul,,,Baul,True,False,False,True,,Urine is hot and dry in temperament.,Urine is a known excretion.,Food|Chest|Cosmetics|Eye|Properties|Excretion|Ulcers|Choice|Temperament|Joints|Nature|Head|Poisons
52,Buyanas Parsley/,,Southern wood,Buyanas Parsley/Southern wood Petroselinum sativum Hoff. skoch,True,False,False,True,third degree,Biiyiinas is hot and dry in the third degree.,"Buyanas is a plant. Though generally the roots of this plant are used, the gum as well as its extract are also used. The gum is stronger than the extract. When it is mixed with olive oil, a little garum and wine, it becomes thick in consistency. Buyanas with moderate density is considered to be more useful.",Food|Chest|Properties|Ulcers|Temperament|Joints|Nature
53,Bahiir Bupthalmum,,Anthemis arvensis Linn.,Bahiir Bupthalmum Anthemis arvensis Linn.,True,False,False,True,first degree,Bahiir is hot in the second and dry in the first degree.,Bahiir is also called Kiio jashm or 'ain al-baqar. Its flowers have yellow petals which are red in the middle part and thicker than the flowers of chamomile.,Head|Temperament|Nature
54,Bahriimaj,,,Bahriimaj,False,False,False,False,,,Bahriimaj is one of the varieties of fragrant plants.,Head|Excretion|Properties|Nature
55,Bahman Behman,,Centauria behman Linn.,Bahman Behman Centauria behman Linn.,True,False,False,True,second degree,It is hot and dry in the second degree. Cosmetics: It fattens the body. Organs of the chest: Bahman is a strong tonic for the heart and is useful in palpitation. Excretory organs: It increases the formation of semen.,"Bahman is a piece of dried, crooked and twisted branchy wood. It is of two kinds: (a) white and (b) red.",Substitute|Temperament|Nature|Cosmetics
56,Btsh Aconite,,Aconitum nepellus Linn.,Btsh Aconite Aconitum nepellus Linn.,True,False,False,True,,It is extremely hot and dry. Cosmetics: It cures leukoderma when painted or taken orally with the jawiirish' of bazr al jali. Similarly it is useful in leprosy.,Btsh. is very toxic and is a fatal poison.,Poisons|Temperament|Nature|Cosmetics
57,Bish Mush,Bishii,,Bish Mush Bishii,False,False,False,False,,,Bu!;iiis a kind of grass which grows near aconite. Such aconite does not bear fruit. Bu!;ii is a strongest antidote of aconite and has the same uses which aconite has for leprosy and leukoderma. Brsh Mush is a mouse-like animal living in the roots of aconite.,Poisons|Joints|Nature|Cosmetics
58,Bairj Eggs,Ovum,,Bairj Eggs Ovum,True,True,True,False,,"The eggs (as a whole) are moderate. The white and the yolk are inclined to be cold and hot respectively, but both of them are moist specially the white. The dryest eggs are of goose and ostrich.",,Food|Chest|Cosmetics|Eye|Properties|Excretion|Ulcers|Choice|Temperament|Joints|Head|Swellings
59,Bailmiin,,Wild purslane,Bailmiin Wild purslane Portulaca oleracea Linn.,True,False,False,False,,"Tafsiii is an extremely hot, corrosive, warming and desiccant drug. It contains extraneous moisture which immediately resists the acridity.",Bailmiin is a wild purslane which is one of the euphorbia. Its seeds are harmful like those of euphorbia.,Chest|Cosmetics|Substitute|Fevers|Excretion|Properties|Choice|Temperament|Joints|Nature
2,Turbud,,,Turbud,False,False,False,False,,,Turbud is a piece of thick or thin wood brought from India.,Excretion|Properties|Choice|Joints|Nature
3,Tursi Lupin(,,Mad wort,Tursi Lupin(Mad wort Lupinus termis Forsk.(A/yssum,False,False,False,False,,,It is (also called) ii/ilsan (Lupin) and has already been discussed under the letter A/if.,Nature
4,Turmus Lupin,Lupinus a/bus Linn.,,Turmus Lupin Lupinus a/bus Linn.,True,False,False,True,first degree,Turmus is hot in first degree and dry in second degree.,"Lupin (turmus) is a kind of seed, fiat in shape, bitter in taste and has a hollow interior. It is an Egyptian bean.",Food|Cosmetics|Excretion|Properties|Ulcers|Choice|Temperament|Joints|Nature|Head|Swellings
5,Taranjubtn Manna,,Hedysarum alhaji Linn.,Taranjubtn Manna Hedysarum alhaji Linn.,False,False,False,False,,It is moderate in temperament.,Taranjubtn is a kind of dew mostly found in Khurasan and Transoxiana and in our country it falls on a plant called Alhajimaurorum) which is grazed by camels.,Food|Chest|Excretion|Properties|Choice|Temperament|Nature
6,Tashmtzaj,,Chaksu seeds,Tashmtzaj Chaksu seeds Cassia absus Linn.,True,False,False,True,,Tashmtzaj is hot and dry.,,Temperament|Properties
7,Tufra/:z Apple,,Pyrus malus Linn.,Tufra/:z Apple Pyrus malus Linn.,False,True,True,False,,"Ripe apple is very cold and moist due to its moisture content. Acrid, astringent and sour apple is cold, thick and the sweet apple being moist in nature, is more inclined towards hotness. If its coldness is dominant, the (above mentioned) properties of the fruit, leaves and plant would become different. In short, the cold super1luous moisture dominates the substance of the apple and, perhaps, swee",,Food|Chest|Fevers|Excretion|Properties|Ulcers|Choice|Temperament|Joints|Swellings|Poisons
8,,,Tamr hind,Tamr hind; Tamarind Tamarindus indica Linn.,False,True,False,True,second degree,It is cold and dry in the second degree.,Tamr hindi is a well known drug brought from India.,Food|Fevers|Excretion|Properties|Choice|Temperament|Nature
9,Tlmsiib Crocodile,,Crocodilus palustris,Tlmsiib Crocodile Crocodilus palustris,False,False,False,False,,,,Eye|Poisons
10,Tanbitl,,Betel leaves,Tanbitl Betel leaves Piper betle Linn.,False,True,False,True,first degree,It is cold in the first degree and dry in the second degree.,Tanbiil is a leaf of a plant growing in India and at a place which is called Naghar. Its leaves and branches resemble those of a lemon. Indians chew it with lime and betel nut. This causes the teeth to become red and produces fragrance. Indians are very fond of,Food|Cosmetics|Properties|Temperament|Nature|Head
12,Tanniib Fir,,Picea abies,"Tanniib Fir Picea abies, Linn.",False,False,False,False,,,Tanniib is a well known drug and Quj'ii (turpentine of fir) is one of its varieties. Qa¢m quraish is the seed of this plant from which pitch-jews is obtained.,Food|Chest|Eye|Properties|Excretion|Ulcers|Nature|Head|Swellings
13,,,Tinntn bahrt,Tinntn bahrt [Sea dragon or Sea monster1 Draco sps.,False,False,False,False,,,,Properties|Poisons
14,TuMI,,,TuMI,False,False,False,False,,,The strongest tilMI is that of iron and then that of copper comes next. It is produced due to the impact of striking hammer (on the metal concerned). All these tilMI are desiccant and have already been discussed.,Nature
15,Tiltili,,Blue vitriol,Tiltili Blue vitriol Copper sulphate,False,True,False,True,second degree,Tiltiii is cold and dry in the second degree.,"Basically tiltili comes from the smoke emanating at the time of separation of copper from the stone and lead. Sometimes the litharge sublimates and the copper sulphate, so obtained, is of the best variety. Sometimes the litharge deposits as a sediment which",Cosmetics|Eye|Properties|Excretion|Ulcers|Choice|Temperament|Nature
16,Tilth (Black),Mulberry MoTUs nigra Linn.,,Tilth (Black) Mulberry MoTUs nigra Linn.,True,False,True,False,,"Tiith is sweet, hot and moist, but the sourish Syrian mulberry is inclined towards coldness and moistness.",Tilth is of two kinds: (a) sweetFir~iid or white mulberryit is a substitute for figin maturation but muchinferior to it in nutrition.,Food|Cosmetics|Excretion|Properties|Ulcers|Temperament|Nature|Head|Swellings|Poisons
17,Tudor; Erysimon,,Malthiola incana,Tudor; Erysimon Malthiola incana R. Br.,True,False,True,False,second degree,It is hot in the second degree and moist in the first degree.,Dioscorides states that tudor; is a herb bearing leaves like black horehound. Its root is quadrangular and measures nearly half a cubit (in length). The calicles of tiidart having oblong and black seeds are used (as drug). Seeds of wild tiidart are round.,Chest|Eye|Properties|Excretion|Temperament|Joints|Nature|Head|Swellings
18,Tin Fig,,Ficus carica Linn.,Tin Fig Ficus carica Linn.,False,False,False,False,,,"Fig has its own temperament, its leaves and milky juice have all the properties of a spurge; if the leaves of fig are not available, the branches of its wild variety are broken into pieces, pounded and cooked to obtain juice; the extract of fig is made by the same method",Choice|Nature
1,,,Kohl is,Kohl is a medicinal preparation in fine powdered form which is,True,False,True,True,first degree,"White fig is less hot; the moist one is much watery and less curative; unripe fig, excluding its milk, is detergent with some tendency towards coldness. The dry fig is hot in the first degree and attenuant in its last phase.","Tha}sia is pronounced with the letter Tii and therefore we have mentioned it under the letter Tii,",Food|Chest|Cosmetics|Eye|Properties|Excretion|Ulcers|Temperament|Joints|Nature|Head|Swellings|Poisons
2,"Tha""lab Fox",,Vulpes bengalensis,"Tha""lab Fox Vulpes bengalensis",False,False,False,False,,,,Head|Chest|Properties|Joints
3,Thufl Dregs,,,Thufl Dregs,True,False,False,False,first degree,Dregs taken from olive oil is hot in the first degree.,,Ulcers|Choice|Temperament|Properties
4,Tha/j,,,Tha/j,False,False,False,False,,,,Head|Food|Properties|Joints
5,Thiim Garlic,,Allium sativum Linn.,Thiim Garlic Allium sativum Linn.,False,False,False,False,fourth degree,Garlic is warming and desiccant from second to fourth degree. The water of germander is more so (having desiccation and warmth) than others.,Garlic is of several kinds: (a) garden garlic which is well known (b) leek-like garlic and (c) water germander (wild garlic) which is bitter and astringent and is also called mountain garlic. The leeklike garlic has the composite strength of garlic and leek (Allium porrum).,Food|Chest|Cosmetics|Eye|Properties|Excretion|Ulcers|Temperament|Joints|Nature|Head|Swellings|Poisons
6,Thiimiin,,Wild thyme,Thiimiin Wild thyme Thymus serpyllum Linn.,True,False,False,False,,The seed of thiimiin is strongly hot.,,Excretion|Temperament
7,Thll,,Couch grass,Thll Couch grass Scirpus lacustris Linn.,False,True,False,True,first degree,"Thtl, particularly its fresh root, is cold and dry in the first degree.",It is believed to be a synonym for bandklii (or band giah in Persian).,Food|Chest|Substitute|Fevers|Eye|Properties|Excretion|Ulcers|Choice|Temperament|Nature|Head|Poisons
2,,,Jar al-nahr,Jar al-nahr,False,True,False,True,,"It is cold, dry and astringent.",Jiir-al-nahr is a herb the flower of which resembles water lily. It grows under the water with only a small part appearing on Ihe surface. It is similar to knot-grass in properties.,Ulcers|Temperament|Nature
3,Jiisiis,,Spotting poppy,Jiisiis Spotting poppy Silene inflata,False,False,False,False,,,,Properties
4,Jiiwars,,Common millet,Jiiwars Common millet Panicum miliaceum Linn.,True,True,False,True,third degree,It is cold and dry in the last of the third degree. Some (physicians) describe it to he hot in the first degree but the former statement is more correct.,Jdwars is of three kinds. It is similar to the rice in potency but rice is more nutritious. Jiiwars is better than dukhn (a kind of Jawars) in all its actions but it is more astringent.,Food|Excretion|Properties|Choice|Temperament|Nature
5,Jibstn Gypsum,,Hydrous calcium sulphate,Jibstn Gypsum Hydrous calcium sulphate,False,True,False,True,,It is cold and dry.,"Jibstn is hajar al jas (calcium sulphate). It has a transparent surface and when it is burnt, its rarefying property is enhanced.",Eye|Properties|Temperament|Nature|Head|Poisons
6,Jubn Cheese,,,Jubn Cheese,True,True,True,True,second degree,Fresh cheese is cold and moist in the second degree but stale cheese with a saltish taste is hot and dry. The whey is hot because of its biliary content and alkalinity acquired from the first phase of the' formation of blood.,Jubn is made from milk. Curdled milk is called aqat (a kind of butter-milk).,Food|Cosmetics|Eye|Properties|Excretion|Ulcers|Choice|Temperament|Joints|Nature|Swellings|Poisons
7,Jadwiir Larkspur,,Delphinium denudatum Wall,Jadwiir Larkspur Delphinium denudatum Wall,False,False,False,False,,,Jadwiir is a piece of a root resembling Indian birthwort but is thinner and less potent than it. The best jadwiir is that which grows near aconite and hampers the growth of aconite. Ibn Masarjawaih states that jadwiir is similar to the actions of doronic,Substitute|Nature|Poisons
8,Jarlid Locust,,Locusta migratoria,Jarlid Locust Locusta migratoria,False,False,False,False,,,,Food|Cosmetics|Excretion|Choice|Poisons
9,Jirjtr,,Rocket seeds,Jirjtr Rocket seeds Eruca sativa Mill.,True,False,True,True,second degree,"It is hot in the second degree, dry in the first degree and moist in the first degree.",Jirjlr is a well known drug. It is of two kinds (a) wild and (b) cultivated. A decoction of its seeds may be used as a substitute for mustard.,Food|Chest|Cosmetics|Substitute|Excretion|Properties|Ulcers|Temperament|Nature|Head|Poisons
