folio,section,pattern
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C2->C2->C2
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C0->C1
f75r,balneo,C1->C0->C1
f75r,balneo,C1->C3->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C0->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C3->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C2->C2->C2
f75v,balneo,C1->C0->C1
f75v,balneo,C1->C4->C1
f75v,balneo,C1->C4->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C3->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C3->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C2->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C1->C1
f75v,balneo,C1->C2->C1
f76r,balneo,C2->C2->C2
f76r,balneo,C1->C1->C1
f76r,balneo,C2->C3->C2
f76r,balneo,C1->C0->C1
f76r,balneo,C2->C2->C2
f76r,balneo,C1->C3->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C3->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C0->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C1->C3->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C2->C1->C2
f76r,balneo,C2->C1->C2
f76r,balneo,C1->C2->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C3->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C4->C4->C4
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C4->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C1->C4->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C2->C1->C2
f76r,balneo,C0->C0->C0
f76r,balneo,C0->C2->C0
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
