folio,section,locus,length,trajectory,cell_path,token_path
f35v,herbal-A,"15,+P0",3,C0 -> C0 -> C0,ch|eo|o_grade -> ch|bare|e_grade -> ch|bare|e_grade,cheol okchy tch
f35v,herbal-A,"17,+P0",2,C2 -> C0,ch|bare|other -> ch|o|other,chkaly choly
f35v,herbal-A,"18,+P0",2,C1 -> C0,qok|e|other -> ch|o|other,qokeeeb chokeeo
f35v,herbal-A,"2,+P0",3,C0 -> C4 -> C0,ch|bare|e_grade -> ch|e|e_grade -> ch|o|o_grade,qotchy tchey kchor
f35v,herbal-A,"20,+P0",2,C0 -> C0,sh|bare|e_grade -> ch|bare|e_grade,shy dchy
f35v,herbal-A,"21,+P0",2,C0 -> C0,ch|o|o_grade -> ch|o|o_grade,chor chor
f35v,herbal-A,"3,+P0",3,C0 -> C0 -> C2,ch|o|o_grade -> ch|o|other -> ch|bare|other,dchor choty chyty
f35v,herbal-A,"4,+P0",2,C0 -> C0,ch|bare|e_grade -> ch|bare|e_grade,qotchy dchy
f35v,herbal-A,"5,+P0",3,C0 -> C0 -> C2,ch|o|other -> ch|o|other -> ch|bare|other,dchokchy chocthy chckhor
f35v,herbal-A,"6,+P0",4,C0 -> C4 -> C2 -> C2,sh|o|o_grade -> ch|e|e_grade -> ch|bare|other -> ch|bare|other,shol tcheey chkcheeu chcthaiin
f35v,herbal-A,"7,+P0",4,C0 -> C0 -> C0 -> C0,ch|o|e_grade -> ch|o|o_grade -> sh|o|o_grade -> sh|o|e_grade,tcho tchor shol sho
f35v,herbal-A,"8,+P0",4,C0 -> C0 -> C0 -> C0,ch|o|o_grade -> ch|o|e_grade -> ch|o|other -> ch|o|other,tchor cho chotchy dchold
f35v,herbal-A,"9,+P0",4,C0 -> C0 -> C0 -> C0,ch|bare|paradigm -> ch|o|e_grade -> sh|o|e_grade -> ch|o|other,qokchaiin cho ksho choiin
f36r,herbal-A,"1,@P0",2,C2 -> C0,ch|bare|other -> sh|bare|paradigm,chcfhal shaiin
f36r,herbal-A,"2,+P0",4,C0 -> C1 -> C2 -> C0,sh|o|o_grade -> qot|bare|paradigm -> ch|bare|other -> ch|o|o_grade,shor qotaiin chty chol
f36r,herbal-A,"3,+P0",2,C0 -> C0,ch|bare|e_grade -> ch|bare|e_grade,qotchy tchy
f36r,herbal-A,"7,+P0",3,C0 -> C0 -> C2,qot|o|o_grade -> ok|o|o_grade -> ch|bare|other,qotol okol okchyytororysold
f36v,herbal-A,"1,@P0",3,C0 -> C4 -> C2,sh|o|paradigm -> ch|e|e_grade -> ot|bare|paradigm,shoaiin tchey otaiin
f36v,herbal-A,"11,+P1",2,C2 -> C2,ot|bare|e_grade -> ch|bare|other,oty chcthy
f36v,herbal-A,"12,+P1",3,C0 -> C2 -> C2,ch|bare|e_grade -> ot|bare|e_grade -> ch|bare|other,kchy oty chd
f36v,herbal-A,"13,+P1",3,C2 -> C1 -> C2,ok|bare|e_grade -> sh|e|e_grade -> ot|bare|e_grade,oky she oty
f36v,herbal-A,"2,+P0",5,C0 -> C0 -> C2 -> C0 -> C3,qot|o|o_grade -> ch|o|o_grade -> ot|bare|paradigm -> qot|o|o_grade -> ch|e|other,qotor chol otaiin qotor chety
f36v,herbal-A,"3,+P0",3,C2 -> C2 -> C0,ch|bare|other -> ot|bare|clitic -> ch|bare|paradigm,dchytchy otar otchaiin
f36v,herbal-A,"7,+P1",4,C1 -> C0 -> C0 -> C2,qok|bare|e_grade -> ch|o|o_grade -> ch|bare|e_grade -> sh|bare|clitic,qoky okchor chy shan
f36v,herbal-A,"9,+P1",3,C2 -> C0 -> C0,ok|bare|paradigm -> ch|o|other -> ch|o|other,okaiin kcholqod chory
f37r,herbal-A,"1,@P0",5,C0 -> C0 -> C2 -> C0 -> C2,sh|bare|paradigm -> qot|o|o_grade -> ot|bare|e_grade -> ch|o|other -> ot|o|other,shaiin qotor oty chory otod
f37r,herbal-A,"10,+P0",5,C0 -> C0 -> C0 -> C0 -> C0,qot|o|e_grade -> ch|o|other -> ch|o|o_grade -> ch|bare|e_grade -> sh|bare|e_grade,qoto kchochor dchor chy shy
f37r,herbal-A,"2,+P0",4,C2 -> C0 -> C1 -> C0,ok|bare|paradigm -> ch|bare|e_grade -> qok|bare|paradigm -> sh|o|e_grade,okaiin tchy qokaiin sho
f37r,herbal-A,"3,+P0",3,C0 -> C1 -> C2,sh|bare|e_grade -> qok|bare|paradigm -> ok|bare|e_grade,shy qokaiin oky
f37r,herbal-A,"5,+P0",4,C0 -> C0 -> C2 -> C2,ch|bare|e_grade -> ch|o|o_grade -> ch|bare|other -> ot|o|other,qokchy qotchor chkol otoly
f37r,herbal-A,"6,+P0",4,C0 -> C0 -> C0 -> C0,sh|o|o_grade -> sh|o|o_grade -> ch|bare|e_grade -> qot|o|other,shor shol qokchy qotomodydchol
f37r,herbal-A,"7,+P0",2,C4 -> C0,ch|e|e_grade -> qok|o|o_grade,chey qokor
