section,community,relative_pos
stars,C1,0.5
stars,C1,0.75
stars,C3,1.25
stars,C2,1.75
stars,C3,0.0
stars,C2,0.25
stars,C1,0.38
stars,C1,0.5
stars,C1,0.75
stars,C2,1.0
stars,C1,1.12
stars,C3,1.25
stars,C3,1.5
stars,C1,0.6
stars,C1,1.0
stars,C1,1.2
stars,C3,1.6
stars,C1,1.8
stars,C1,2.0
stars,C4,0.2
stars,C1,0.4
stars,C1,0.6
stars,C1,1.0
stars,C0,1.6
stars,C1,1.8
stars,C1,0.0
stars,C1,0.67
stars,C1,1.0
stars,C1,1.33
stars,C1,0.2
stars,C1,0.4
stars,C1,0.6
stars,C1,0.8
stars,C1,1.4
stars,C1,2.2
stars,C3,0.67
stars,C1,1.33
stars,C1,1.67
stars,C2,2.67
stars,C0,0.12
stars,C0,0.25
stars,C1,0.38
stars,C1,0.5
stars,C1,0.62
stars,C1,0.88
stars,C1,1.0
stars,C2,1.12
stars,C2,1.38
stars,C3,0.0
stars,C1,0.25
stars,C0,1.0
stars,C2,2.25
stars,C2,2.5
stars,C1,0.33
stars,C3,0.67
stars,C1,1.33
stars,C2,1.67
stars,C1,0.0
stars,C1,0.14
stars,C1,0.29
stars,C1,0.43
stars,C1,0.71
stars,C1,0.86
stars,C2,1.14
stars,C2,1.29
stars,C2,1.0
stars,C1,1.67
stars,C1,2.33
stars,C1,2.67
stars,C4,0.33
stars,C2,1.0
stars,C1,1.33
stars,C3,2.0
stars,C1,0.11
stars,C1,0.22
stars,C1,0.33
stars,C1,0.44
stars,C3,0.56
stars,C1,0.67
stars,C0,0.78
stars,C2,0.89
stars,C1,1.0
stars,C2,1.11
stars,C2,0.14
stars,C2,0.29
stars,C2,0.43
stars,C1,0.57
stars,C2,0.71
stars,C2,0.86
stars,C1,1.0
stars,C1,1.14
stars,C2,0.25
stars,C1,0.5
stars,C1,0.75
stars,C0,1.0
stars,C2,1.75
stars,C0,0.25
stars,C1,0.5
stars,C1,1.25
stars,C1,1.5
stars,C1,1.75
stars,C4,0.75
stars,C3,1.5
stars,C2,1.75
stars,C1,2.0
stars,C0,3.0
stars,C1,0.67
stars,C2,2.0
stars,C2,2.33
stars,C2,2.67
stars,C1,0.4
stars,C1,0.6
stars,C1,0.8
stars,C2,1.0
stars,C2,1.2
stars,C3,1.8
stars,C1,0.33
stars,C1,0.67
stars,C3,1.0
stars,C3,1.67
stars,C1,0.4
stars,C1,0.6
stars,C1,1.0
stars,C1,1.4
stars,C2,1.6
stars,C2,1.8
stars,C3,0.2
stars,C1,0.6
stars,C3,0.8
stars,C2,1.0
stars,C4,1.2
stars,C1,1.4
stars,C4,0.33
stars,C0,1.0
stars,C2,1.33
stars,C1,2.33
stars,C1,0.0
stars,C1,0.22
stars,C1,0.33
stars,C2,0.56
stars,C2,0.67
stars,C0,0.78
stars,C1,0.89
stars,C1,1.0
stars,C1,1.11
stars,C1,1.22
stars,C2,1.0
stars,C1,5.0
stars,C1,0.0
stars,C4,0.4
stars,C1,0.6
stars,C1,1.0
stars,C1,1.2
stars,C2,1.8
stars,C1,0.0
stars,C4,0.2
stars,C1,0.4
stars,C0,0.6
stars,C2,0.8
stars,C1,1.0
stars,C1,0.4
stars,C1,0.6
stars,C2,0.8
stars,C0,1.0
stars,C3,1.2
stars,C1,1.4
stars,C1,0.17
stars,C4,0.5
stars,C1,0.67
stars,C1,0.83
stars,C1,1.0
stars,C3,1.17
stars,C1,1.33
stars,C1,0.17
stars,C1,0.5
stars,C1,0.83
stars,C2,1.0
stars,C2,1.17
stars,C1,1.33
