from_cell,to_cell,allowed
ch|bare|o_grade,ok|o|paradigm,0
ch|bare|o_grade,ot|bare|aspect,0
ch|bare|o_grade,ot|bare|clitic,0
ch|bare|o_grade,ot|bare|e_grade,0
ch|bare|o_grade,ot|bare|o_grade,0
ch|bare|o_grade,ot|bare|other,1
ch|bare|o_grade,ot|bare|paradigm,0
ch|bare|o_grade,ot|eo|aspect,0
ch|bare|o_grade,ot|eo|clitic,0
ch|bare|o_grade,ot|eo|e_grade,0
ch|bare|o_grade,ot|eo|o_grade,1
ch|bare|o_grade,ot|eo|other,0
ch|bare|o_grade,ot|e|aspect,0
ch|bare|o_grade,ot|e|clitic,0
ch|bare|o_grade,ot|e|e_grade,0
ch|bare|o_grade,ot|e|other,0
ch|bare|o_grade,ot|e|paradigm,0
ch|bare|o_grade,ot|o|aspect,0
ch|bare|o_grade,ot|o|clitic,0
ch|bare|o_grade,ot|o|e_grade,0
ch|bare|o_grade,ot|o|o_grade,1
ch|bare|o_grade,ot|o|other,0
ch|bare|o_grade,ot|o|paradigm,0
ch|bare|o_grade,qok|bare|aspect,0
ch|bare|o_grade,qok|bare|clitic,0
ch|bare|o_grade,qok|bare|e_grade,0
ch|bare|o_grade,qok|bare|o_grade,0
ch|bare|o_grade,qok|bare|other,0
ch|bare|o_grade,qok|bare|paradigm,0
ch|bare|o_grade,qok|eo|aspect,0
ch|bare|o_grade,qok|eo|e_grade,0
ch|bare|o_grade,qok|eo|o_grade,0
ch|bare|o_grade,qok|eo|other,0
ch|bare|o_grade,qok|e|aspect,1
ch|bare|o_grade,qok|e|clitic,0
ch|bare|o_grade,qok|e|e_grade,0
ch|bare|o_grade,qok|e|o_grade,0
ch|bare|o_grade,qok|e|other,0
ch|bare|o_grade,qok|e|paradigm,0
ch|bare|o_grade,qok|o|aspect,0
ch|bare|o_grade,qok|o|e_grade,0
ch|bare|o_grade,qok|o|o_grade,0
ch|bare|o_grade,qok|o|other,0
ch|bare|o_grade,qok|o|paradigm,0
ch|bare|o_grade,qot|bare|clitic,0
ch|bare|o_grade,qot|bare|e_grade,0
ch|bare|o_grade,qot|bare|o_grade,0
ch|bare|o_grade,qot|bare|other,0
ch|bare|o_grade,qot|bare|paradigm,0
ch|bare|o_grade,qot|eo|aspect,0
ch|bare|o_grade,qot|eo|clitic,0
ch|bare|o_grade,qot|eo|e_grade,0
ch|bare|o_grade,qot|eo|o_grade,0
ch|bare|o_grade,qot|eo|other,0
ch|bare|o_grade,qot|e|aspect,0
ch|bare|o_grade,qot|e|clitic,0
ch|bare|o_grade,qot|e|e_grade,0
ch|bare|o_grade,qot|e|other,0
ch|bare|o_grade,qot|o|aspect,0
ch|bare|o_grade,qot|o|e_grade,0
ch|bare|o_grade,qot|o|o_grade,0
ch|bare|o_grade,qot|o|other,0
ch|bare|o_grade,sh|bare|aspect,0
ch|bare|o_grade,sh|bare|clitic,0
ch|bare|o_grade,sh|bare|e_grade,0
