token,section,position,relative_position,prev_cell,next_cell,prev_comm,next_comm
dshedy,rosettes,0,0.0,,qok|e|e_grade,UNK,C1
dcheey,rosettes,0,0.0,,ot|bare|e_grade,UNK,C2
dchdor,rosettes,3,0.2,sh|bare|other,ch|e|other,C1,C3
dchdes,rosettes,14,0.93,ch|bare|aspect,sh|eo|aspect,C2,C0
dcheytain,rosettes,0,0.0,,qok|bare|other,UNK,C1
dshey,rosettes,0,0.0,,qot|bare|clitic,UNK,C2
dchol,rosettes,0,0.0,,ch|e|aspect,UNK,C1
dchedy,rosettes,0,0.0,,ch|bare|other,UNK,C2
dshor,rosettes,0,0.0,,sh|bare|aspect,UNK,C1
dshor,rosettes,0,0.0,,sh|e|e_grade,UNK,C1
dcheeol,pharm-herbal,1,1.0,ch|eo|o_grade,,C0,UNK
dcheeckhos,pharm-herbal,0,0.0,,ch|e|other,UNK,C3
dchol,pharm-herbal,2,1.0,ot|eo|aspect,,C3,UNK
dcheody,pharm-herbal,1,1.0,sh|o|aspect,,C0,UNK
dcheecthey,pharm-herbal,0,0.0,,ok|bare|e_grade,UNK,C2
dcheos,pharm-herbal,0,0.0,,sh|e|e_grade,UNK,C1
dchey,pharm-herbal,0,0.0,,ch|o|other,UNK,C0
dsheol,pharm-herbal,0,0.0,,qok|e|e_grade,UNK,C1
dshor,pharm-herbal,0,0.0,,sh|o|o_grade,UNK,C0
dshody,pharm-herbal,0,0.0,,ch|o|other,UNK,C0
dchey,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchy,herbal-A,1,0.17,ch|o|o_grade,qok|bare|clitic,C0,C1
dchy,herbal-A,4,1.0,sh|o|other,,C0,UNK
dsheey,herbal-A,2,0.5,sh|o|e_grade,sh|o|other,C0,C0
dchor,herbal-A,3,0.6,ch|e|other,ch|o|other,C3,C0
dshol,herbal-A,0,0.0,,sh|o|other,UNK,C0
dchy,pharm-herbal,4,1.0,ch|o|o_grade,,C0,UNK
