x,y,section,trajectory
6.1479564,8.944397,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1
6.6003337,8.970365,stars,C1 -> C1 -> C1 -> C0
7.182909,9.027321,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2
7.202008,9.032884,stars,C4 -> C1 -> C1 -> C1 -> C1
7.277345,8.882726,stars,C1 -> C1 -> C1 -> C3 -> C2
7.1653028,8.916367,stars,C3 -> C2 -> C1 -> C1 -> C1 -> C2 -> C1 -> C3 -> C3
7.293571,8.900176,stars,C1 -> C1 -> C1 -> C3 -> C1 -> C1
7.236769,8.837841,stars,C4 -> C1 -> C1 -> C1 -> C0 -> C1
30.280329,-0.36313275,stars,C1 -> C1 -> C1 -> C1
6.9714866,-11.915216,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1
6.6657276,9.068107,stars,C3 -> C1 -> C1 -> C2
7.1810985,8.9290085,stars,C0 -> C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2
7.246165,8.989688,stars,C3 -> C1 -> C0 -> C2 -> C2
7.16307,9.34473,stars,C1 -> C3 -> C1 -> C2
7.1798506,9.014477,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2
7.03801,9.157551,stars,C2 -> C1 -> C1 -> C1
7.255194,9.004195,stars,C4 -> C2 -> C1 -> C3
7.1798153,9.073388,stars,C1 -> C1 -> C1 -> C1 -> C3 -> C1 -> C0 -> C2 -> C1 -> C2
7.135312,9.182398,stars,C2 -> C2 -> C2 -> C1 -> C2 -> C2 -> C1 -> C1
7.2461486,9.006246,stars,C2 -> C1 -> C1 -> C0 -> C2
7.031307,9.1592,stars,C0 -> C1 -> C1 -> C1 -> C1
6.898046,9.528365,stars,C4 -> C3 -> C2 -> C1 -> C0
5.0059013,8.578516,stars,C1 -> C2 -> C2 -> C2
7.1254373,9.192385,stars,C1 -> C1 -> C1 -> C2 -> C2 -> C3
7.1832113,9.080901,stars,C1 -> C1 -> C3 -> C3
7.038643,9.237831,stars,C1 -> C1 -> C1 -> C1 -> C2 -> C2
7.106487,9.038649,stars,C3 -> C1 -> C3 -> C2 -> C4 -> C1
7.093781,9.194992,stars,C4 -> C0 -> C2 -> C1
7.145258,9.252372,stars,C1 -> C1 -> C1 -> C2 -> C2 -> C0 -> C1 -> C1 -> C1 -> C1
6.9904785,22.377123,stars,C2 -> C1
7.080192,9.103,stars,C1 -> C4 -> C1 -> C1 -> C1 -> C2
7.0718417,9.27885,stars,C1 -> C4 -> C1 -> C0 -> C2 -> C1
6.967512,9.3317585,stars,C1 -> C1 -> C2 -> C0 -> C3 -> C1
7.084701,9.288296,stars,C1 -> C4 -> C1 -> C1 -> C1 -> C3 -> C1
7.0985975,9.190546,stars,C1 -> C1 -> C1 -> C2 -> C2 -> C1 -> C2
11.7859745,23.530968,stars,C1 -> C1
7.0014443,9.244852,stars,C1 -> C1 -> C1 -> C1 -> C3
6.870489,9.465825,stars,C3 -> C3 -> C4 -> C4 -> C0
7.0538983,9.346128,stars,C1 -> C0 -> C3 -> C1 -> C2
6.0392394,9.195281,stars,C4 -> C1 -> C1 -> C1
30.269321,-0.35212374,stars,C1 -> C1 -> C1 -> C1
6.8193884,9.344674,stars,C1 -> C1 -> C1 -> C2 -> C1
6.740226,9.581692,stars,C1 -> C4 -> C2
6.8325047,9.527601,stars,C2 -> C1 -> C1 -> C1 -> C2
6.8720574,9.442434,stars,C1 -> C2 -> C2 -> C1 -> C0
6.8280406,9.339447,stars,C1 -> C4 -> C1 -> C1 -> C2
5.02479,8.967502,stars,C0 -> C1 -> C2 -> C2 -> C2
6.83378,9.426076,stars,C3 -> C1 -> C1 -> C3 -> C1 -> C1
6.9146523,9.333657,stars,C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1 -> C1
6.7364683,9.348649,stars,C1 -> C0 -> C4 -> C3 -> C2 -> C1 -> C1 -> C1 -> C3
6.963927,9.524613,stars,C1 -> C3 -> C1
6.8935027,9.415365,stars,C2 -> C0 -> C0 -> C2 -> C1 -> C1 -> C2
6.8955483,9.328082,stars,C1 -> C2 -> C1 -> C3
6.9414473,9.397959,stars,C3 -> C2 -> C1 -> C2 -> C0 -> C2
6.797494,9.366624,stars,C2 -> C1 -> C2 -> C0 -> C4 -> C2
6.6250515,9.5069065,stars,C1 -> C1 -> C1 -> C1 -> C0 -> C2
6.8267283,9.510795,stars,C0 -> C0 -> C2 -> C0 -> C1 -> C2
6.830132,9.507396,stars,C3 -> C1 -> C2 -> C0 -> C2
6.9277005,9.614573,stars,C0 -> C0 -> C2 -> C2 -> C2 -> C0
23.840538,-11.076025,stars,C0 -> C0 -> C0
6.645701,9.53387,stars,C1 -> C1 -> C1 -> C1 -> C3 -> C2 -> C2
6.6841583,9.485238,stars,C3 -> C1 -> C0 -> C2
6.7830386,9.553993,stars,C2 -> C2 -> C1 -> C2 -> C0 -> C0
6.7967596,9.403612,stars,C3 -> C0 -> C4 -> C2
6.5793757,9.556031,stars,C0 -> C2 -> C1 -> C0 -> C0 -> C3
6.984713,5.19975,stars,C1 -> C1 -> C2 -> C2
6.7519455,9.425581,stars,C1 -> C2 -> C1 -> C1 -> C0 -> C1 -> C0 -> C2
6.7097006,9.481507,stars,C0 -> C0 -> C3 -> C0 -> C0 -> C0
6.691786,9.666934,stars,C2 -> C2 -> C3 -> C2 -> C1
6.6378794,9.585193,stars,C2 -> C2 -> C2 -> C3 -> C2
6.5163507,9.617846,stars,C2 -> C1 -> C0
-14.011436,19.29275,stars,C1 -> C1 -> C0
6.6765265,9.570158,stars,C3 -> C1 -> C2 -> C3
6.12424,7.259115,stars,C0 -> C3 -> C0
6.5856075,9.474236,stars,C3 -> C1 -> C2 -> C1 -> C1 -> C2
5.602921,9.576517,stars,C3 -> C1 -> C1 -> C3
6.4762044,9.671651,stars,C1 -> C0 -> C3 -> C1 -> C3 -> C0
6.5539417,9.583424,stars,C1 -> C3 -> C0 -> C0 -> C0 -> C1
6.4345,9.500197,stars,C3 -> C1 -> C2 -> C1 -> C2 -> C4
6.5735083,9.532635,stars,C0 -> C1 -> C1 -> C1 -> C1 -> C2 -> C0 -> C1 -> C0
6.3357625,9.57791,stars,C3 -> C4 -> C0 -> C0
6.478144,9.383327,stars,C2 -> C0 -> C1 -> C0 -> C1 -> C2
6.5709443,9.560568,stars,C2 -> C0 -> C2 -> C2 -> C3 -> C1 -> C2 -> C1
5.0102854,8.892153,stars,C2 -> C0 -> C0 -> C2
5.2954636,9.32573,stars,C2 -> C0 -> C1
5.644532,9.419936,stars,C1 -> C1 -> C3 -> C2
6.9621315,22.40532,stars,C2 -> C1
6.204858,9.51554,stars,C1 -> C0 -> C0 -> C1 -> C1
6.135097,9.407447,stars,C0 -> C1 -> C1 -> C1 -> C3 -> C1 -> C3
6.359142,9.554627,stars,C0 -> C4 -> C1 -> C0 -> C1 -> C2 -> C2
6.20072,9.559841,stars,C2 -> C1 -> C1 -> C2 -> C2
5.3019094,5.647853,stars,C2 -> C1 -> C2
6.4236746,9.495703,stars,C1 -> C3 -> C1 -> C1 -> C2 -> C2 -> C3
6.413614,9.483838,stars,C0 -> C0 -> C1 -> C1 -> C1 -> C2 -> C2
6.1352506,9.625623,stars,C1 -> C3 -> C1 -> C1 -> C2 -> C2
2.8708005,5.790148,stars,C1 -> C0 -> C3
-5.2400403,25.583637,stars,C0 -> C3
